user,condition,time,cmplx_interventionMax,objective,score_obj,target,cmplx_interventionN,score_side,cmplx_steps,intervention_valence,Predeessors,Successors,Neighbours,betweennessCentrality,eigenvectorCentrality,Depression,Worry,Wellbeing,Loneliness,Sleeplessness,Neuroticism,Alcohol,Education,BMI,Intelligence,Eveningness,Not socialising,Smoking,Exercise,Coffee intake,CHD,Diabetes,p_Depression,p_Worry,p_Wellbeing,p_Loneliness,p_Sleeplessness,p_Neuroticism,p_Alcohol,p_Education,p_BMI,p_Intelligence,p_Eveningness,p_Not socialising,p_Smoking,p_Exercise,p_Coffee intake,p_CHD,p_Diabetes
game-0.24405303112553933,game,13:59:00,1,Wellbeing,100,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.9359062541068082,game,15:40:00,1,Worry,0,Exercise,1,1,1,Good,2,1,3,0,0.158432551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.106484122,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
game-0.9359062541068082,game,15:41:00,1,CHD,10,Alcohol,1,3.665897892,25,Bad,1,5,6,0.013888889,0.310796192,NA,NA,NA,NA,NA,-0.033801761,-1,0.19472278,-0.282833471,0.898300295,0.107697046,-0.124669159,-0.957729566,-0.149918163,0.032259568,-0.316407215,-0.290185278,0,0,0,0,0,2,0,1,1,1,1,1,2,2,2,2,2
game-0.9359062541068082,game,15:42:00,1,Alcohol,0,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.9359062541068082,game,15:43:00,1,Loneliness,0,Exercise,1,1,1,Good,2,1,3,0,0.158432551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.106484122,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
game-0.9359062541068082,game,15:44:00,1,CHD,100,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.9359062541068082,game,15:45:00,1,CHD,0,Exercise,1,1,1,Good,2,1,3,0,0.158432551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.106484122,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
game-0.9359062541068082,game,15:46:00,1,Alcohol,0,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.9359062541068082,game,15:48:00,2,Smoking,84,Intelligence,1,1.0245925,5,Good,3,4,7,0.009027778,0.330541708,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-0.02052727,NA,-0.115472639,0.044972582999999997,-0.119537869,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
game-0.9359062541068082,game,15:48:00,0,Smoking,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
game-0.9359062541068082,game,15:50:00,2,Neuroticism,31,Alcohol,1,3.665897892,25,Bad,1,5,6,0.013888889,0.310796192,NA,NA,NA,NA,NA,-0.033801761,-1,0.19472278,-0.282833471,0.898300295,0.107697046,-0.124669159,-0.957729566,-0.149918163,0.032259568,-0.316407215,-0.290185278,0,0,0,0,0,2,0,1,1,1,1,1,2,2,2,2,2
game-0.9359062541068082,game,15:52:00,2,Eveningness,100,Exercise,1,1,1,Good,2,1,3,0,0.158432551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.106484122,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
game-0.9359062541068082,game,15:53:00,2,CHD,70,Exercise,1,1,1,Good,2,1,3,0,0.158432551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.106484122,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
game-0.9359062541068082,game,15:54:00,2,Neuroticism,72,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.9359062541068082,game,15:54:00,2,Wellbeing,0,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.9359062541068082,game,15:56:00,2,Intelligence,98,Alcohol,1,3.665897892,25,Bad,1,5,6,0.013888889,0.310796192,NA,NA,NA,NA,NA,-0.033801761,-1,0.19472278,-0.282833471,0.898300295,0.107697046,-0.124669159,-0.957729566,-0.149918163,0.032259568,-0.316407215,-0.290185278,0,0,0,0,0,2,0,1,1,1,1,1,2,2,2,2,2
game-0.9359062541068082,game,15:56:00,0,Intelligence,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
game-0.7063002260111635,game,16:57:00,1,Sleeplessness,73,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7063002260111635,game,16:57:00,1,Neuroticism,52,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.7063002260111635,game,16:59:00,1,Loneliness,100,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7063002260111635,game,16:59:00,1,Loneliness,0,Depression,1,2.922385147,42,Bad,0,5,5,0,0.138011635,-1,-0.092800285,0.201137033,-0.068750446,-0.167707027,-0.336927211,-0.06333694,0.06737527,-0.119006424,0.179682008,0.012437357,-0.042750734,-0.371232862,-0.036730051,0.002872602,-0.245315575,-0.122099807,0,1,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7063002260111635,game,17:00:00,1,Smoking,100,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.7063002260111635,game,17:01:00,1,Not socialising,0,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.7063002260111635,game,17:01:00,1,Neuroticism,2,Alcohol,1,3.665897892,25,Bad,1,5,6,0.013888889,0.310796192,NA,NA,NA,NA,NA,-0.033801761,-1,0.19472278,-0.282833471,0.898300295,0.107697046,-0.124669159,-0.957729566,-0.149918163,0.032259568,-0.316407215,-0.290185278,0,0,0,0,0,2,0,1,1,1,1,1,2,2,2,2,2
game-0.7063002260111635,game,17:02:00,1,CHD,100,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.7063002260111635,game,17:02:00,1,BMI,100,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.7063002260111635,game,17:02:00,1,Wellbeing,54,Sleeplessness,1,7.664287669,31,Bad,3,6,9,0.141666667,0.351810245,NA,NA,0.303440544,NA,-1,-0.069738376,-0.377664201,0.401743872,-0.709609047,1.071404168,0.074161214,-0.254913194,-2.21357965,-0.219013192,0.017128694,-1.462762646,-0.728054209,0,0,1,0,0,2,1,1,1,2,2,1,2,2,2,1,2
game-0.7063002260111635,game,17:03:00,1,Sleeplessness,73,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7063002260111635,game,17:03:00,1,Worry,100,Depression,1,2.922385147,42,Bad,0,5,5,0,0.138011635,-1,-0.092800285,0.201137033,-0.068750446,-0.167707027,-0.336927211,-0.06333694,0.06737527,-0.119006424,0.179682008,0.012437357,-0.042750734,-0.371232862,-0.036730051,0.002872602,-0.245315575,-0.122099807,0,1,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7063002260111635,game,17:04:00,1,Worry,100,Depression,1,2.922385147,42,Bad,0,5,5,0,0.138011635,-1,-0.092800285,0.201137033,-0.068750446,-0.167707027,-0.336927211,-0.06333694,0.06737527,-0.119006424,0.179682008,0.012437357,-0.042750734,-0.371232862,-0.036730051,0.002872602,-0.245315575,-0.122099807,0,1,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7063002260111635,game,17:04:00,1,Eveningness,100,Alcohol,1,3.665897892,25,Bad,1,5,6,0.013888889,0.310796192,NA,NA,NA,NA,NA,-0.033801761,-1,0.19472278,-0.282833471,0.898300295,0.107697046,-0.124669159,-0.957729566,-0.149918163,0.032259568,-0.316407215,-0.290185278,0,0,0,0,0,2,0,1,1,1,1,1,2,2,2,2,2
game-0.7063002260111635,game,17:04:00,1,Loneliness,0,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.7063002260111635,game,17:04:00,1,Sleeplessness,100,Loneliness,1,7.45586652,33,Bad,2,2,4,0,0.123794692,NA,NA,0.201604534,-1,-0.664395507,-1.410082093,-0.250918398,0.266916824,-0.471461063,0.711836116,0.049272377,-0.169363181,-1.470692374,-0.145511381,0.011380227,-0.97185293,-0.483715945,0,0,2,0,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7063002260111635,game,17:05:00,1,Loneliness,100,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.7063002260111635,game,17:05:00,2,BMI,67,Intelligence,1,1.0245925,5,Good,3,4,7,0.009027778,0.330541708,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-0.02052727,NA,-0.115472639,0.044972582999999997,-0.119537869,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
game-0.7063002260111635,game,17:06:00,2,BMI,100,Sleeplessness,1,7.664287669,31,Bad,3,6,9,0.141666667,0.351810245,NA,NA,0.303440544,NA,-1,-0.069738376,-0.377664201,0.401743872,-0.709609047,1.071404168,0.074161214,-0.254913194,-2.21357965,-0.219013192,0.017128694,-1.462762646,-0.728054209,0,0,1,0,0,2,1,1,1,2,2,1,2,2,2,1,2
game-0.7063002260111635,game,17:06:00,2,CHD,100,Sleeplessness,1,7.664287669,31,Bad,3,6,9,0.141666667,0.351810245,NA,NA,0.303440544,NA,-1,-0.069738376,-0.377664201,0.401743872,-0.709609047,1.071404168,0.074161214,-0.254913194,-2.21357965,-0.219013192,0.017128694,-1.462762646,-0.728054209,0,0,1,0,0,2,1,1,1,2,2,1,2,2,2,1,2
game-0.7063002260111635,game,17:07:00,0,Eveningness,100,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
game-0.7063002260111635,game,17:10:00,2,Sleeplessness,100,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.29465377956972216,game,17:29:00,1,Not socialising,100,Loneliness,1,7.45586652,33,Bad,2,2,4,0,0.123794692,NA,NA,0.201604534,-1,-0.664395507,-1.410082093,-0.250918398,0.266916824,-0.471461063,0.711836116,0.049272377,-0.169363181,-1.470692374,-0.145511381,0.011380227,-0.97185293,-0.483715945,0,0,2,0,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.29465377956972216,game,17:30:00,1,Worry,100,Depression,1,2.922385147,42,Bad,0,5,5,0,0.138011635,-1,-0.092800285,0.201137033,-0.068750446,-0.167707027,-0.336927211,-0.06333694,0.06737527,-0.119006424,0.179682008,0.012437357,-0.042750734,-0.371232862,-0.036730051,0.002872602,-0.245315575,-0.122099807,0,1,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.29465377956972216,game,17:31:00,2,Loneliness,100,Depression,1,2.922385147,42,Bad,0,5,5,0,0.138011635,-1,-0.092800285,0.201137033,-0.068750446,-0.167707027,-0.336927211,-0.06333694,0.06737527,-0.119006424,0.179682008,0.012437357,-0.042750734,-0.371232862,-0.036730051,0.002872602,-0.245315575,-0.122099807,0,1,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.29465377956972216,game,17:31:00,1,Exercise,100,Intelligence,1,1.0245925,5,Good,3,4,7,0.009027778,0.330541708,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-0.02052727,NA,-0.115472639,0.044972582999999997,-0.119537869,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
game-0.29465377956972216,game,17:32:00,2,Eveningness,100,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.29465377956972216,game,17:33:00,2,Not socialising,0,Alcohol,1,3.665897892,25,Bad,1,5,6,0.013888889,0.310796192,NA,NA,NA,NA,NA,-0.033801761,-1,0.19472278,-0.282833471,0.898300295,0.107697046,-0.124669159,-0.957729566,-0.149918163,0.032259568,-0.316407215,-0.290185278,0,0,0,0,0,2,0,1,1,1,1,1,2,2,2,2,2
game-0.29465377956972216,game,17:34:00,1,Exercise,100,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.29465377956972216,game,17:37:00,1,Worry,100,Depression,1,2.922385147,42,Bad,0,5,5,0,0.138011635,-1,-0.092800285,0.201137033,-0.068750446,-0.167707027,-0.336927211,-0.06333694,0.06737527,-0.119006424,0.179682008,0.012437357,-0.042750734,-0.371232862,-0.036730051,0.002872602,-0.245315575,-0.122099807,0,1,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.29465377956972216,game,17:40:00,1,Worry,100,Depression,1,2.922385147,42,Bad,0,5,5,0,0.138011635,-1,-0.092800285,0.201137033,-0.068750446,-0.167707027,-0.336927211,-0.06333694,0.06737527,-0.119006424,0.179682008,0.012437357,-0.042750734,-0.371232862,-0.036730051,0.002872602,-0.245315575,-0.122099807,0,1,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.6404855542767078,game,17:41:00,1,Intelligence,14,Sleeplessness,1,7.664287669,31,Bad,3,6,9,0.141666667,0.351810245,NA,NA,0.303440544,NA,-1,-0.069738376,-0.377664201,0.401743872,-0.709609047,1.071404168,0.074161214,-0.254913194,-2.21357965,-0.219013192,0.017128694,-1.462762646,-0.728054209,0,0,1,0,0,2,1,1,1,2,2,1,2,2,2,1,2
game-0.6404855542767078,game,17:42:00,1,BMI,49,Sleeplessness,1,7.664287669,31,Bad,3,6,9,0.141666667,0.351810245,NA,NA,0.303440544,NA,-1,-0.069738376,-0.377664201,0.401743872,-0.709609047,1.071404168,0.074161214,-0.254913194,-2.21357965,-0.219013192,0.017128694,-1.462762646,-0.728054209,0,0,1,0,0,2,1,1,1,2,2,1,2,2,2,1,2
game-0.6404855542767078,game,17:43:00,1,Exercise,100,Alcohol,1,3.665897892,25,Bad,1,5,6,0.013888889,0.310796192,NA,NA,NA,NA,NA,-0.033801761,-1,0.19472278,-0.282833471,0.898300295,0.107697046,-0.124669159,-0.957729566,-0.149918163,0.032259568,-0.316407215,-0.290185278,0,0,0,0,0,2,0,1,1,1,1,1,2,2,2,2,2
game-0.6404855542767078,game,17:45:00,1,Coffee intake,0,Diabetes,1,1,0,Bad,1,0,1,0,0.062422471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
game-0.29465377956972216,game,17:45:00,2,Diabetes,100,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.6404855542767078,game,17:46:00,1,Not socialising,100,Exercise,1,1,1,Good,2,1,3,0,0.158432551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.106484122,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
game-0.6404855542767078,game,17:47:00,2,Education,29,Alcohol,1,3.665897892,25,Bad,1,5,6,0.013888889,0.310796192,NA,NA,NA,NA,NA,-0.033801761,-1,0.19472278,-0.282833471,0.898300295,0.107697046,-0.124669159,-0.957729566,-0.149918163,0.032259568,-0.316407215,-0.290185278,0,0,0,0,0,2,0,1,1,1,1,1,2,2,2,2,2
game-0.6404855542767078,game,17:49:00,2,Intelligence,91,BMI,1,3.659626034,11,Neutral,3,6,9,0.052083333,0.384786133,NA,NA,NA,NA,NA,NA,NA,NA,-1,0.293973612,NA,-0.038603559,-1.884789556,-0.033945909,-0.099902246,-0.450211802,-1.025993414,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,1
game-0.6404855542767078,game,17:52:00,0,CHD,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
game-0.6404855542767078,game,17:56:00,0,Worry,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
game-0.6404855542767078,game,18:03:00,1,Diabetes,69,BMI,1,3.659626034,11,Neutral,3,6,9,0.052083333,0.384786133,NA,NA,NA,NA,NA,NA,NA,NA,-1,0.293973612,NA,-0.038603559,-1.884789556,-0.033945909,-0.099902246,-0.450211802,-1.025993414,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,1
game-0.23600743198777452,game,19:00:00,1,Coffee intake,0,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.23600743198777452,game,19:01:00,1,Sleeplessness,0,Exercise,1,1,1,Good,2,1,3,0,0.158432551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.106484122,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
game-0.23600743198777452,game,19:01:00,1,Not socialising,100,Loneliness,1,7.45586652,33,Bad,2,2,4,0,0.123794692,NA,NA,0.201604534,-1,-0.664395507,-1.410082093,-0.250918398,0.266916824,-0.471461063,0.711836116,0.049272377,-0.169363181,-1.470692374,-0.145511381,0.011380227,-0.97185293,-0.483715945,0,0,2,0,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.23600743198777452,game,19:02:00,1,Neuroticism,52,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
game-0.23600743198777452,game,19:02:00,1,Exercise,100,Loneliness,1,7.45586652,33,Bad,2,2,4,0,0.123794692,NA,NA,0.201604534,-1,-0.664395507,-1.410082093,-0.250918398,0.266916824,-0.471461063,0.711836116,0.049272377,-0.169363181,-1.470692374,-0.145511381,0.011380227,-0.97185293,-0.483715945,0,0,2,0,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.23600743198777452,game,19:03:00,1,Coffee intake,100,Exercise,1,1,1,Good,2,1,3,0,0.158432551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.106484122,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
game-0.23600743198777452,game,19:03:00,1,Loneliness,0,Sleeplessness,1,7.664287669,31,Bad,3,6,9,0.141666667,0.351810245,NA,NA,0.303440544,NA,-1,-0.069738376,-0.377664201,0.401743872,-0.709609047,1.071404168,0.074161214,-0.254913194,-2.21357965,-0.219013192,0.017128694,-1.462762646,-0.728054209,0,0,1,0,0,2,1,1,1,2,2,1,2,2,2,1,2
game-0.23600743198777452,game,19:03:00,1,Exercise,100,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.23600743198777452,game,19:03:00,1,Eveningness,100,Alcohol,1,3.665897892,25,Bad,1,5,6,0.013888889,0.310796192,NA,NA,NA,NA,NA,-0.033801761,-1,0.19472278,-0.282833471,0.898300295,0.107697046,-0.124669159,-0.957729566,-0.149918163,0.032259568,-0.316407215,-0.290185278,0,0,0,0,0,2,0,1,1,1,1,1,2,2,2,2,2
game-0.23600743198777452,game,19:04:00,1,Diabetes,0,Exercise,1,1,1,Good,2,1,3,0,0.158432551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.106484122,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
game-0.23600743198777452,game,19:04:00,1,Neuroticism,75,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.23600743198777452,game,19:04:00,1,Loneliness,100,Worry,1,6.353748686,37,Bad,1,4,5,0,0.138011635,NA,-1,0.558903234,-0.187065925,-0.487125621,-1.056093649,-0.183969908,0.195699733,-0.345668748,0.521908421,0.036125827,-0.124174748,-1.078291362,-0.106686937,0.008343826,-0.712549162,-0.354653859,0,0,1,1,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.23600743198777452,game,19:04:00,1,BMI,0,Exercise,1,1,1,Good,2,1,3,0,0.158432551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.106484122,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
game-0.23600743198777452,game,19:05:00,1,Worry,0,Loneliness,1,7.45586652,33,Bad,2,2,4,0,0.123794692,NA,NA,0.201604534,-1,-0.664395507,-1.410082093,-0.250918398,0.266916824,-0.471461063,0.711836116,0.049272377,-0.169363181,-1.470692374,-0.145511381,0.011380227,-0.97185293,-0.483715945,0,0,2,0,1,1,2,2,2,3,3,2,3,3,3,2,3
game-0.23600743198777452,game,19:05:00,1,Intelligence,100,Education,1,6.704817427,20,Good,2,9,11,0.0625,0.433930685,NA,NA,NA,NA,NA,-0.173589147,NA,1,-0.34611712,1.792597052,0.102033765,-0.166062424,-2.833140244,-0.444200091,0.163974767,-0.828514765,-0.355113886,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2
